:START_ID,:END_ID,pieza_origen,pieza_destino
1,7,macho_1,hembra_1
2,3,macho_1,hembra_2
2,1,macho_2,hembra_1
3,9,macho_1,hembra_1
4,5,macho_1,hembra_2
4,3,macho_2,hembra_1
5,11,macho_1,hembra_1
6,5,macho_1,hembra_1
7,8,macho_1,hembra_2
8,2,macho_1,hembra_1
8,14,macho_2,hembra_1
9,10,macho_1,hembra_2
9,8,macho_2,hembra_1
10,4,macho_1,hembra_1
10,16,macho_2,hembra_1
11,12,macho_1,hembra_1
11,10,macho_2,hembra_1
12,6,macho_1,hembra_1
12,18,macho_2,hembra_1
13,7,macho_1,hembra_2
13,19,macho_2,hembra_1
14,15,macho_1,hembra_2
14,13,macho_2,hembra_1
15,9,macho_1,hembra_2
15,21,macho_2,hembra_1
16,17,macho_1,hembra_2
16,15,macho_2,hembra_1
17,11,macho_1,hembra_2
17,23,macho_2,hembra_1
18,17,macho_1,hembra_1
19,20,macho_1,hembra_2
20,14,macho_1,hembra_2
21,22,macho_1,hembra_2
21,20,macho_2,hembra_1
22,16,macho_1,hembra_2
23,24,macho_1,hembra_1
23,22,macho_2,hembra_1
24,18,macho_1,hembra_2
